dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc
amlworld,gcn,2024,0.044123300460533,0.0229646628392228,0.5610534716679968,0.7021624061570269,0.0210973097761821
amlworld,gcn,2025,0.045400238948626,0.0237839771101573,0.49812734082397,0.7039959339933642,0.023767837880866
amlworld,gcn,2026,0.044037984597311,0.0229709947572683,0.5312992125984252,0.6936432505763815,0.0215125815538365
amlworld,gcn,2027,0.0448434002723473,0.0233443061078156,0.5673267326732673,0.7109842416866952,0.0234410835187984
amlworld,gat,2024,0.0455460974139578,0.0245845699684162,0.3090582601755786,0.6956853183862686,0.0220034158777432
amlworld,gat,2025,0.0477052189876737,0.0255524182786182,0.3585649517051054,0.7147366795445829,0.023930714065632
amlworld,gat,2026,0.0458603712793026,0.0248292277343941,0.2998031496062992,0.6853165053312972,0.0220405658644588
amlworld,gat,2027,0.0468652198158622,0.0248614448375372,0.4077227722772277,0.7091089291351708,0.0239318404236073
amlworld,sage,2024,0.0501331998355116,0.0275339264321765,0.2797286512370311,0.6893232925006908,0.024517927369822
amlworld,sage,2025,0.051618253983926,0.0286824087078651,0.2576384782180169,0.6644833676113142,0.0243239860150982
amlworld,sage,2026,0.0502899237810437,0.0277119086853422,0.2714566929133858,0.6691163276458993,0.0242030252911215
amlworld,sage,2027,0.0497524855443238,0.027795853862601,0.2368316831683168,0.6615238021288751,0.0232033563234524
amlworld,lgbm,2024,0.0694638230017939,0.0396879626466233,0.2781324820430965,0.7535725713601069,0.0378136688571114
amlworld,lgbm,2025,0.0685815717282556,0.039708492945903,0.2513305736250739,0.7472882422737386,0.0367042813224717
amlworld,lgbm,2026,0.0726798455361481,0.0417658642682891,0.2797244094488189,0.753552460809847,0.0366002309209132
amlworld,lgbm,2027,0.0707291038195572,0.0400588791925139,0.3017821782178218,0.7542841552681294,0.0365702589000246
amlworld,xgb,2024,0.0709847596717467,0.0416036828363336,0.2416201117318435,0.7532376467852382,0.0369789947660666
amlworld,xgb,2025,0.0721465476749647,0.0428858610676792,0.2270845653459491,0.7511670299961316,0.0373301481594739
amlworld,xgb,2026,0.076112378367453,0.0445978411667174,0.2594488188976378,0.7569048594060082,0.0378972402959791
amlworld,xgb,2027,0.0718336483931947,0.0413203443858551,0.2746534653465347,0.7514179443726763,0.0366177749372529
amlworld,mlp,2024,0.0480093989479586,0.0257261410788381,0.3587390263367917,0.5255598260239887,0.0182852775721091
amlworld,mlp,2025,0.0445135859969268,0.0233892321270962,0.4596885472107234,0.5545705957572911,0.0183959501514798
amlworld,mlp,2026,0.0466909771842507,0.0249040635020764,0.3730314960629921,0.535786219191679,0.0185561039416999
amlworld,mlp,2027,0.0437215932326171,0.0232315581658119,0.3704950495049505,0.54836083324564,0.0172016263750165
