idx,account,tx_deg,tx_S,tx_B,tx_S_ratio,bhv_S,bhv_B,bhv_S_ratio,shift
19,108:9000000000000039,12,2,10,0.16666666666666666,8,2,0.8,0.6333333333333334
21,108:9000000000000041,42,20,22,0.47619047619047616,6,4,0.6,0.12380952380952381
31,108:9000000004228478,9,2,7,0.2222222222222222,9,1,0.9,0.6777777777777778
33,108:9000000004228480,39,29,10,0.7435897435897436,7,3,0.7,-0.04358974358974366
34,108:9000000004228482,12,2,10,0.16666666666666666,4,6,0.4,0.23333333333333336
57,109:9000000000000108,21,11,10,0.5238095238095238,9,1,0.9,0.3761904761904762
58,109:9000000004228485,177,3,174,0.01694915254237288,4,6,0.4,0.38305084745762713
60,109:9000000004228487,64,4,60,0.0625,7,3,0.7,0.6375
66,109:9000000004228493,125,10,115,0.08,9,1,0.9,0.8200000000000001
71,109:9000000004228498,35,3,32,0.08571428571428572,7,3,0.7,0.6142857142857142
77,109:9000000004228504,24,12,12,0.5,10,0,1.0,0.5
83,110:9000000000000123,100,2,98,0.02,7,3,0.7,0.6799999999999999
87,110:9000000000000138,131,5,126,0.03816793893129771,5,5,0.5,0.4618320610687023
103,110:9000000004228514,131,3,128,0.022900763358778626,7,3,0.7,0.6770992366412213
115,111:9000000004228521,88,12,76,0.13636363636363635,9,1,0.9,0.7636363636363637
120,112:9000000000000181,66,1,65,0.015151515151515152,8,2,0.8,0.7848484848484849
121,112:9000000000000188,222,6,216,0.02702702702702703,4,6,0.4,0.372972972972973
123,112:9000000004228527,243,16,227,0.06584362139917696,9,1,0.9,0.834156378600823
137,114:9000000000000220,13,3,10,0.23076923076923078,7,3,0.7,0.4692307692307692
148,114:9000000000000236,76,3,73,0.039473684210526314,9,1,0.9,0.8605263157894737
162,114:9000000004228538,13,1,12,0.07692307692307693,3,7,0.3,0.22307692307692306
260,116:9000000004228591,102,3,99,0.029411764705882353,5,5,0.5,0.47058823529411764
276,118:9000000000000429,150,12,138,0.08,8,2,0.8,0.7200000000000001
278,118:9000000004228604,142,3,139,0.02112676056338028,8,2,0.8,0.7788732394366198
279,118:9000000004228605,166,35,131,0.21084337349397592,8,2,0.8,0.5891566265060242
299,120:9000000000000491,65,6,59,0.09230769230769231,9,1,0.9,0.8076923076923077
577,122:9000000000000848,120,3,117,0.025,8,2,0.8,0.775
581,122:9000000000000859,27,18,9,0.6666666666666666,9,1,0.9,0.2333333333333334
596,122:9000000000000911,66,5,61,0.07575757575757576,9,1,0.9,0.8242424242424242
612,122:9000000004228749,151,11,140,0.0728476821192053,9,1,0.9,0.8271523178807947
627,122:9000000004228764,27,6,21,0.2222222222222222,5,5,0.5,0.2777777777777778
642,122:9000000004228779,68,2,66,0.029411764705882353,7,3,0.7,0.6705882352941176
700,123:9000000004228802,38,10,28,0.2631578947368421,9,1,0.9,0.6368421052631579
748,128:9000000004228837,90,3,87,0.03333333333333333,7,3,0.7,0.6666666666666666
755,129:9000000000001224,10,6,4,0.6,10,0,1.0,0.4
784,129:9000000000001312,33,2,31,0.06060606060606061,6,4,0.6,0.5393939393939393
796,129:9000000000001330,247,18,229,0.0728744939271255,7,3,0.7,0.6271255060728744
800,129:9000000004228844,7,6,1,0.8571428571428571,8,2,0.8,-0.05714285714285705
867,130:9000000000001460,71,4,67,0.056338028169014086,5,5,0.5,0.44366197183098594
879,130:9000000000001511,164,38,126,0.23170731707317074,9,1,0.9,0.6682926829268293
885,130:9000000000001539,105,9,96,0.08571428571428572,10,0,1.0,0.9142857142857143
887,130:9000000000001549,89,8,81,0.0898876404494382,10,0,1.0,0.9101123595505618
896,130:9000000000001609,228,18,210,0.07894736842105263,10,0,1.0,0.9210526315789473
922,130:9000000004228909,154,12,142,0.07792207792207792,7,3,0.7,0.622077922077922
936,130:9000000004228923,128,34,94,0.265625,9,1,0.9,0.634375
942,130:9000000004228929,104,12,92,0.11538461538461539,9,1,0.9,0.7846153846153846
944,130:9000000004228931,97,10,87,0.10309278350515463,9,1,0.9,0.7969072164948454
953,130:9000000004228940,144,26,118,0.18055555555555555,10,0,1.0,0.8194444444444444
979,131:9000000000001747,264,49,215,0.1856060606060606,6,4,0.6,0.41439393939393937
1088,131:9000000000002177,142,4,138,0.028169014084507043,10,0,1.0,0.971830985915493
1098,131:9000000000002225,90,1,89,0.011111111111111112,6,4,0.6,0.5888888888888889
1173,131:9000000000002563,169,5,164,0.029585798816568046,5,5,0.5,0.47041420118343197
1207,131:9000000000002681,252,7,245,0.027777777777777776,7,3,0.7,0.6722222222222222
1246,131:9000000000002860,146,2,144,0.0136986301369863,6,4,0.6,0.5863013698630137
1261,131:9000000000002920,106,7,99,0.0660377358490566,9,1,0.9,0.8339622641509434
1287,131:9000000000003029,135,5,130,0.037037037037037035,4,6,0.4,0.362962962962963
1420,131:9000000000003647,263,5,258,0.019011406844106463,9,1,0.9,0.8809885931558935
1460,131:9000000000003845,123,5,118,0.04065040650406504,5,5,0.5,0.45934959349593496
1567,131:9000000000004388,181,2,179,0.011049723756906077,6,4,0.6,0.5889502762430939
1568,131:9000000000004392,161,6,155,0.037267080745341616,10,0,1.0,0.9627329192546584
1582,131:9000000000004442,156,3,153,0.019230769230769232,4,6,0.4,0.3807692307692308
1664,131:9000000000004913,155,6,149,0.03870967741935484,3,7,0.3,0.26129032258064516
1667,131:9000000000004923,87,1,86,0.011494252873563218,5,5,0.5,0.4885057471264368
1680,131:9000000000004989,74,3,71,0.04054054054054054,7,3,0.7,0.6594594594594594
1692,131:9000000000005034,110,3,107,0.02727272727272727,6,4,0.6,0.5727272727272728
1749,131:9000000000005278,59,2,57,0.03389830508474576,8,2,0.8,0.7661016949152543
1787,131:9000000000005494,305,10,295,0.03278688524590164,10,0,1.0,0.9672131147540983
1811,131:9000000000005618,317,9,308,0.028391167192429023,7,3,0.7,0.6716088328075709
1820,131:9000000000005652,289,6,283,0.020761245674740483,5,5,0.5,0.47923875432525953
2103,131:9000000004228966,254,51,203,0.20078740157480315,9,1,0.9,0.6992125984251969
2212,131:9000000004229075,107,8,99,0.07476635514018691,8,2,0.8,0.7252336448598131
2220,131:9000000004229083,107,3,104,0.028037383177570093,7,3,0.7,0.6719626168224299
2275,131:9000000004229139,291,12,279,0.041237113402061855,6,4,0.6,0.5587628865979382
2330,131:9000000004229194,260,10,250,0.038461538461538464,6,4,0.6,0.5615384615384615
2384,131:9000000004229248,119,4,115,0.03361344537815126,7,3,0.7,0.6663865546218487
2388,131:9000000004229252,106,4,102,0.03773584905660377,6,4,0.6,0.5622641509433962
2396,131:9000000004229260,318,10,308,0.031446540880503145,1,9,0.1,0.06855345911949687
2480,131:9000000004229344,430,11,419,0.02558139534883721,1,9,0.1,0.07441860465116279
2543,131:9000000004229407,268,6,262,0.022388059701492536,8,2,0.8,0.7776119402985076
2585,131:9000000004229450,125,7,118,0.056,5,5,0.5,0.444
2600,131:9000000004229465,119,7,112,0.058823529411764705,8,2,0.8,0.7411764705882353
2608,131:9000000004229473,227,6,221,0.02643171806167401,5,5,0.5,0.473568281938326
2688,131:9000000004229555,143,13,130,0.09090909090909091,10,0,1.0,0.9090909090909091
2714,131:9000000004229581,168,8,160,0.047619047619047616,5,5,0.5,0.4523809523809524
2799,131:9000000004229667,66,5,61,0.07575757575757576,5,5,0.5,0.42424242424242425
2811,131:9000000004229679,122,9,113,0.07377049180327869,7,3,0.7,0.6262295081967213
2883,131:9000000004229753,145,4,141,0.027586206896551724,5,5,0.5,0.4724137931034483
2921,131:9000000004229792,124,5,119,0.04032258064516129,7,3,0.7,0.6596774193548387
2927,131:9000000004229798,279,7,272,0.025089605734767026,7,3,0.7,0.6749103942652329
3008,131:9000000004229879,139,3,136,0.02158273381294964,4,6,0.4,0.3784172661870504
3115,131:9000000004229987,150,7,143,0.04666666666666667,7,3,0.7,0.6533333333333333
3157,131:9000000004230029,133,3,130,0.022556390977443608,7,3,0.7,0.6774436090225564
3199,131:9000000004334444,164,10,154,0.06097560975609756,9,1,0.9,0.8390243902439025
3204,131:9000000004398035,320,9,311,0.028125,5,5,0.5,0.471875
3205,131:9000000004430994,93,6,87,0.06451612903225806,7,3,0.7,0.635483870967742
3215,132:9000000000006895,127,17,110,0.13385826771653545,8,2,0.8,0.6661417322834646
3242,132:9000000000006988,113,9,104,0.07964601769911504,8,2,0.8,0.720353982300885
3249,132:9000000000007016,327,22,305,0.0672782874617737,8,2,0.8,0.7327217125382264
3292,132:9000000000007223,119,18,101,0.15126050420168066,7,3,0.7,0.5487394957983193
3369,132:9000000004230093,56,7,49,0.125,9,1,0.9,0.775
3399,132:9000000004230124,145,25,120,0.1724137931034483,5,5,0.5,0.3275862068965517
3408,132:9000000004230133,178,13,165,0.07303370786516854,5,5,0.5,0.42696629213483145
3411,132:9000000004230136,186,4,182,0.021505376344086023,7,3,0.7,0.678494623655914
3451,132:9000000004230176,208,12,196,0.057692307692307696,6,4,0.6,0.5423076923076923
