dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc,train_ratio
amlnet,xgb,2024,0.3896940418679549,0.6940726577437859,0.2708955223880597,0.7894274485560363,0.4929376125663656,0.01
amlnet,xgb,2025,0.4828263002944062,0.6988636363636364,0.368815592203898,0.8346458570620082,0.6045352169860843,0.01
amlnet,xgb,2026,0.6289655172413793,0.5710707576706324,0.6999232540291634,0.9121648377216528,0.6292427623881882,0.01
amlnet,xgb,2027,0.5085763293310464,0.593,0.4451951951951952,0.8862268659058681,0.5613563470236377,0.01
amlnet,lgbm,2024,0.2813975448536355,0.3830334190231362,0.2223880597014925,0.6843564426388766,0.2963116299546922,0.01
amlnet,lgbm,2025,0.4802286803239638,0.6588235294117647,0.3778110944527736,0.7993966740612665,0.501704192879996,0.01
amlnet,lgbm,2026,0.5151739452257587,0.4974982130092923,0.5341519570222564,0.8549305375265372,0.5150821425373094,0.01
amlnet,lgbm,2027,0.4218385440970602,0.5573366214549939,0.3393393393393393,0.8557384234553779,0.4852852565409657,0.01
amlnet,gcn,2024,0.2781083620419668,0.2396114409066378,0.3313432835820895,0.5883334805263623,0.2303193820632845,0.01
amlnet,gcn,2025,0.376984126984127,0.3372781065088757,0.4272863568215892,0.6570672652084555,0.3282003764459876,0.01
amlnet,gcn,2026,0.4138518308260006,0.3283783783783783,0.5594781273983116,0.752504733662906,0.4373069401593453,0.01
amlnet,gcn,2027,0.4676961865742199,0.403041825095057,0.5570570570570571,0.7836315565979789,0.4359945584958856,0.01
amlnet,gat,2024,0.3047511948271015,0.2444745151105097,0.4044776119402985,0.6412369513379848,0.2797737212281873,0.01
amlnet,gat,2025,0.4112275955360162,0.3746149106592729,0.4557721139430284,0.7368295659407761,0.4308749939433848,0.01
amlnet,gat,2026,0.379746835443038,0.2892728003214142,0.5525709900230238,0.7325522280882657,0.438021606272049,0.01
amlnet,gat,2027,0.37952,0.3307306190741773,0.4451951951951952,0.7110975659982517,0.410227744410544,0.01
amlnet,caregnn,2024,0.2174197773411919,0.1936989498249708,0.2477611940298507,0.5545965291883777,0.1712812864508952,0.01
amlnet,caregnn,2025,0.3439579684763573,0.3228139381985536,0.3680659670164917,0.6545211015589649,0.2915549649714887,0.01
amlnet,caregnn,2026,0.3577127659574468,0.3155425219941349,0.4128933231005372,0.6582474428634973,0.295693442836169,0.01
amlnet,caregnn,2027,0.3885714285714285,0.3241344706472654,0.484984984984985,0.7195406715535588,0.3359055900691542,0.01
amlnet,xgb,2024,0.6865787432117921,0.6807692307692308,0.6924882629107981,0.928673336683464,0.7754131501058279,0.05
amlnet,xgb,2025,0.6876183263915183,0.6642282370153622,0.7127158555729984,0.9236000635252386,0.7355662315800501,0.05
amlnet,xgb,2026,0.6880664652567976,0.6521116678596993,0.7282174260591526,0.9342011512410026,0.7283926909742409,0.05
amlnet,xgb,2027,0.6453699959563284,0.666110183639399,0.6258823529411764,0.9261846172524736,0.7246458546702554,0.05
amlnet,lgbm,2024,0.6738437001594896,0.6869918699186992,0.661189358372457,0.9294692350225126,0.7548190771265824,0.05
amlnet,lgbm,2025,0.6621297037630104,0.6756535947712419,0.6491365777080063,0.9244050632025584,0.7504860110580654,0.05
amlnet,lgbm,2026,0.6727707006369427,0.6701030927835051,0.6754596322941646,0.9294384470198874,0.729604278265042,0.05
amlnet,lgbm,2027,0.5999113867966327,0.6894093686354379,0.5309803921568628,0.9193834274266984,0.7092442814611931,0.05
amlnet,gcn,2024,0.4438271604938271,0.3664627930682976,0.5625978090766823,0.7648473499847228,0.4393731154127432,0.05
amlnet,gcn,2025,0.4623803009575923,0.4096969696969696,0.5306122448979592,0.7717916061155288,0.4512555720007589,0.05
amlnet,gcn,2026,0.4706671136439825,0.4053117782909931,0.5611510791366906,0.7917158062659638,0.4753300373612557,0.05
amlnet,gcn,2027,0.4504561182761875,0.3760504201680672,0.5615686274509804,0.7690852182359011,0.4430067880567891,0.05
amlnet,gat,2024,0.4619289340101523,0.4304054054054054,0.4984350547730829,0.7701725162116848,0.5195262745969432,0.05
amlnet,gat,2025,0.5155071248952221,0.5530575539568345,0.4827315541601256,0.8014936886858983,0.5778933835584161,0.05
amlnet,gat,2026,0.5024469820554649,0.5129059117402165,0.4924060751398881,0.8098214847062959,0.5591583450641344,0.05
amlnet,gat,2027,0.4725676664228237,0.4427690198766278,0.5066666666666667,0.778647823711528,0.5338004233822858,0.05
amlnet,caregnn,2024,0.3902691511387163,0.2915699922660479,0.5899843505477308,0.7270099232106658,0.3256815256962956,0.05
amlnet,caregnn,2025,0.436738519212746,0.3627400103788272,0.5486656200941915,0.7710145493790155,0.4144573422950863,0.05
amlnet,caregnn,2026,0.4309744779582367,0.3381884387801547,0.5939248601119105,0.7621841778336808,0.3957987414095129,0.05
amlnet,caregnn,2027,0.4119134588367519,0.3209281961471103,0.5749019607843138,0.7421210465610393,0.3508301062502249,0.05
amlnet,xgb,2024,0.690159003008165,0.7182468694096601,0.664185277088503,0.934228738725575,0.7889726590680513,0.1
amlnet,xgb,2025,0.6999587288485348,0.6962233169129721,0.703734439834025,0.9389437252614872,0.7885955370010109,0.1
amlnet,xgb,2026,0.6981818181818182,0.6625766871165644,0.7378309137489325,0.9384821883417348,0.7750929180223485,0.1
amlnet,xgb,2027,0.70727969348659,0.6532200990799717,0.77109440267335,0.9395994260279134,0.790063928542836,0.1
amlnet,lgbm,2024,0.6872791519434629,0.7374407582938388,0.6435070306038048,0.9322131613129868,0.7881030175327751,0.1
amlnet,lgbm,2025,0.6721100128921358,0.696969696969697,0.6489626556016598,0.9326629498004528,0.7762352291999989,0.1
amlnet,lgbm,2026,0.6904250751395449,0.694300518134715,0.6865926558497011,0.9372565849735812,0.7831326555257913,0.1
amlnet,lgbm,2027,0.698348771647201,0.6741835147744946,0.7243107769423559,0.9423094102479664,0.79337827451838,0.1
amlnet,gcn,2024,0.4617824294322867,0.3744855967078189,0.6021505376344086,0.7868816180059119,0.4823652945058618,0.1
amlnet,gcn,2025,0.4615875039846988,0.3747412008281574,0.6008298755186722,0.7872626400312501,0.4807314322105007,0.1
