dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc,train_ratio
amlworld,xgb,2024,0.0179573512906846,0.0432140445644834,0.0113334513901186,0.6865279333858894,0.024753979803599,0.01
amlworld,xgb,2025,0.0234245703373647,0.0422794117647058,0.0162000352174678,0.6350132047069323,0.0213316951813355,0.01
amlworld,xgb,2026,0.0235804309527036,0.0504640371229698,0.0153846153846153,0.6405743702224141,0.0230885923689929,0.01
amlworld,xgb,2027,0.0214259327669006,0.0346337579617834,0.0155107862364057,0.7197720025440217,0.0264678478443381,0.01
amlworld,lgbm,2024,0.0135497529992942,0.0333796940194714,0.0085000885425889,0.6560449999186329,0.0229282693025256,0.01
amlworld,lgbm,2025,0.0196694440650184,0.0438489646772229,0.0126782884310618,0.5691125281756574,0.0189447708725143,0.01
amlworld,lgbm,2026,0.02397212543554,0.056578947368421,0.0152077807250221,0.6158867889101791,0.0221811227856925,0.01
amlworld,lgbm,2027,0.0317611940298507,0.0480838756326825,0.0237118916027812,0.7023591538734222,0.0263342356745151,0.01
amlworld,gcn,2024,0.0410528040190028,0.0211794932472405,0.6656631839914999,0.6887839422655677,0.0202807671920236,0.01
amlworld,gcn,2025,0.046626301930463,0.0244789419461639,0.4895228033104419,0.6540064894250448,0.0222235887449859,0.01
amlworld,gcn,2026,0.0443341321465251,0.0231872970399368,0.5038019451812555,0.6738185775594171,0.0210032486571135,0.01
amlworld,gcn,2027,0.0477360244323463,0.0254474239939596,0.3845605277233018,0.6786395628698896,0.0240381196294442,0.01
amlworld,gat,2024,0.0477667493796526,0.0259493573934222,0.2999822914822029,0.6499326477504594,0.022261726205862,0.01
amlworld,gat,2025,0.0479856983800906,0.0263384403511792,0.2694136291600634,0.648636287232783,0.022957337403429,0.01
amlworld,gat,2026,0.0432306605146111,0.0244942179514355,0.1839080459770115,0.6457440004147721,0.0211873021745487,0.01
amlworld,gat,2027,0.0465565567150707,0.0255474452554744,0.2620788019254769,0.6654997138914021,0.0230920827779485,0.01
amlworld,caregnn,2024,0.0462965860374878,0.0242181681276139,0.5239950416150169,0.6669525570030147,0.0219800843897375,0.01
amlworld,caregnn,2025,0.0442367046939906,0.0230127310529463,0.5691142806832189,0.6846551350727914,0.0230133271966396,0.01
amlworld,caregnn,2026,0.043918414105693,0.0227605655616574,0.6236958443854995,0.681878237751959,0.0224547610730507,0.01
amlworld,caregnn,2027,0.0448966276556701,0.0233379731362476,0.5888750222856124,0.6952955441662835,0.0221722674103504,0.01
amlworld,xgb,2024,0.0678631519910263,0.0486060898208403,0.1123908601151774,0.7198900222496284,0.0322275201241324,0.05
amlworld,xgb,2025,0.0732626209934504,0.0533964177086853,0.1166697434004061,0.7176182513684313,0.0340527840221736,0.05
amlworld,xgb,2026,0.0697850275467214,0.0492640890719133,0.1196074800962784,0.729138352550067,0.033013671513819,0.05
amlworld,xgb,2027,0.0694105836799082,0.0466371169782231,0.1356502242152466,0.7332215802851896,0.0325218239316274,0.05
amlworld,lgbm,2024,0.0676182588785502,0.0458267300581088,0.1289243916031952,0.724933782398833,0.0320223522583173,0.05
amlworld,lgbm,2025,0.0710342469099614,0.0482992293382939,0.1342071257153406,0.7090633337536971,0.0319818051628085,0.05
amlworld,lgbm,2026,0.0676802821600495,0.045571245186136,0.1314571375671172,0.7081458765143809,0.0309648071508045,0.05
amlworld,lgbm,2027,0.0656406617288331,0.0430357662111078,0.1382660687593423,0.7231716893849509,0.0314440437890454,0.05
amlworld,gcn,2024,0.041168187850117,0.0211610457638856,0.7549693479472414,0.7014556463185496,0.0218248732513432,0.05
