dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc,train_ratio
hofinet,xgb,2024,0.6486200596211175,0.5507471217441006,0.7887966319728686,0.9912902224314438,0.592575635621243,0.01
hofinet,xgb,2025,0.6333073474956149,0.5442136995478144,0.7572826846888837,0.9907831902420812,0.5847029317786067,0.01
hofinet,xgb,2026,0.6500713945740124,0.5478539911752908,0.7991808074897601,0.9913571805687188,0.6090812629843295,0.01
hofinet,xgb,2027,0.6304820678840609,0.558973899004395,0.722969837587007,0.9898412371839862,0.5839575098140368,0.01
hofinet,gcn,2024,0.271498699419139,0.1630108031939877,0.8117179277277511,0.947178098508478,0.3356946123227169,0.01
hofinet,gcn,2025,0.2787574159525379,0.1693108453030379,0.788394313679795,0.9418754369980094,0.325247388079408,0.01
hofinet,gcn,2026,0.2923196621095921,0.1804335894621295,0.7694558221181977,0.9470160031226242,0.3162608117251894,0.01
hofinet,gcn,2027,0.2711466925440725,0.1641856821075311,0.7779582366589327,0.9120103272606728,0.3097997960782525,0.01
hofinet,caregnn,2024,0.1078275816474943,0.0627875194887686,0.3814758507776868,0.6281378017080743,0.1079434936585421,0.01
hofinet,caregnn,2025,0.1349128848229429,0.086542265594092,0.3058727569331158,0.6707361510691714,0.0974078570551377,0.01
hofinet,caregnn,2026,0.1164658634538152,0.0698729794849002,0.3495611468695143,0.6279504378257407,0.0886175074970507,0.01
hofinet,caregnn,2027,0.1085718207398256,0.063708118556701,0.3670533642691415,0.6249539112644589,0.0878232126533217,0.01
hofinet,xgb,2024,0.6720495728100648,0.5456208552481134,0.8747403152877917,0.99191282305775,0.6455627433271961,0.05
hofinet,xgb,2025,0.6549030679465462,0.5314242077128675,0.853132279024151,0.9918147718955552,0.6385155022873525,0.05
hofinet,xgb,2026,0.6600952060393326,0.5430809399477807,0.8413826918362344,0.9918008627707294,0.64713213424405,0.05
hofinet,xgb,2027,0.6558431916052071,0.5550900712191035,0.8012820512820513,0.991610987196336,0.6534769159032651,0.05
hofinet,gcn,2024,0.2450780025887322,0.1423822056873726,0.8792618843944764,0.9542965533787728,0.3546199067294552,0.05
hofinet,gcn,2025,0.2468847631701799,0.1446241874750194,0.8428343753831066,0.94516639700607,0.3540723699061048,0.05
hofinet,gcn,2026,0.2606853771087071,0.1541213828883224,0.8448149056141211,0.9536938892675018,0.3732999763666473,0.05
hofinet,gcn,2027,0.2730477567272819,0.1727479862648823,0.6510643444605708,0.9273222684923847,0.2885824856114921,0.05
hofinet,caregnn,2024,0.1013063012647298,0.0582781456953642,0.3871440791885616,0.6209705012637672,0.0915829486597137,0.05
hofinet,caregnn,2025,0.1071238565961317,0.0622804916985951,0.3826161579011891,0.6276203042125941,0.1001956044243339,0.05
hofinet,caregnn,2026,0.1131377911911723,0.0668569008181554,0.3676146114243687,0.6289136727178524,0.0978782432719839,0.05
hofinet,caregnn,2027,0.118103641971526,0.0710511440438447,0.3496613449443638,0.6303877284576134,0.0914680278447529,0.05
hofinet,xgb,2024,0.6762174984883018,0.5273122959738846,0.9423126782473424,0.9921573083434244,0.6691154002673108,0.1
hofinet,xgb,2025,0.6751501286817272,0.5321962581711623,0.9231069985664015,0.9924527406910408,0.6677833962762539,0.1
hofinet,xgb,2026,0.6738586014255442,0.535804549283909,0.9077462047489296,0.9920784506217618,0.6587031983928708,0.1
hofinet,xgb,2027,0.6741422273337166,0.537397814959126,0.9042293353901528,0.9919265544288156,0.6657568749808815,0.1
hofinet,gcn,2024,0.2389396381873544,0.138623326959847,0.8646616541353384,0.9471820860924436,0.3648797942057378,0.1
hofinet,gcn,2025,0.2530481941613139,0.1484263959390863,0.8574221295451584,0.9516721820223698,0.3118826536306251,0.1
hofinet,gcn,2026,0.257172342621259,0.1604997906804495,0.6466848319709355,0.9189847103213608,0.2807292851233718,0.1
hofinet,gcn,2027,0.2561448240693523,0.1597595496326452,0.6457128165573981,0.921336326775462,0.2781950674203191,0.1
hofinet,caregnn,2024,0.1013462463081255,0.0584101975377063,0.3825512056002074,0.6189960387748743,0.0928365875260898,0.1
hofinet,caregnn,2025,0.1015235433165967,0.058507676398059,0.3834223901994005,0.6236273352052211,0.0933891618206279,0.1
hofinet,caregnn,2026,0.1126772088456109,0.0668836215271031,0.3573374854028805,0.6272044106857674,0.0909887859317514,0.1
hofinet,caregnn,2027,0.115068166461306,0.068055196408002,0.372155804087929,0.6305533315742876,0.0982826722481282,0.1
