dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc
amlnet,gcn,2024,0.4625199362041467,0.37642782969885774,0.5996691480562448,0.7868625496716487,0.4825551791191038
amlnet,gcn,2025,0.46047490231439736,0.3609802073515551,0.6356846473029045,0.7913028608579022,0.49625550928490914
amlnet,gcn,2026,0.4721242060691602,0.40228502705953095,0.5713065755764304,0.7920341713755962,0.47249869695513796
amlnet,gcn,2027,0.4709551656920078,0.4415204678362573,0.504594820384294,0.7681352093460886,0.45097145951972295
amlnet,gat,2024,0.5248868778280543,0.5220949263502455,0.5277088502894954,0.8142480554929933,0.5878625123701232
amlnet,gat,2025,0.5428156748911466,0.6508120649651972,0.46556016597510375,0.8250956760699193,0.6150732305289386
amlnet,gat,2026,0.4344597103601931,0.3843626806833114,0.4995730145175064,0.7740839904902402,0.47932163665283406
amlnet,gat,2027,0.49940828402366866,0.4730941704035874,0.5288220551378446,0.7984766379098257,0.5652011774694761
amlnet,sage,2024,0.6998525073746312,0.6314038589487692,0.7849462365591398,0.9333103532664982,0.7960036688328843
amlnet,sage,2025,0.7127866303925379,0.6703216374269005,0.7609958506224066,0.9368710578864126,0.8075015805679836
amlnet,sage,2026,0.7147335423197492,0.6603910209992759,0.7788215200683177,0.943704742980933,0.8122553629099807
amlnet,sage,2027,0.7053661829227135,0.5917327293318233,0.873015873015873,0.9470633926215865,0.8093640562550448
amlnet,mlp,2024,0.7215399933620976,0.602549889135255,0.8990901571546733,0.9465335893066525,0.8042817497742812
amlnet,mlp,2025,0.7122563594317807,0.5916575192096597,0.8946058091286307,0.9466168777777474,0.7982101818789942
amlnet,mlp,2026,0.7090909090909091,0.58532518065592,0.8992314261315115,0.9422411605497876,0.7985389163269552
amlnet,mlp,2027,0.7119547119547119,0.5919158361018826,0.8930659983291562,0.9428981502816625,0.7849139589030586
amlnet,lgbm,2024,0.6872791519434629,0.7374407582938388,0.6435070306038048,0.9322131613129867,0.7881030175327751
amlnet,lgbm,2025,0.6721100128921358,0.696969696969697,0.6489626556016598,0.9326629498004528,0.7762352291999989
amlnet,lgbm,2026,0.6904250751395449,0.694300518134715,0.6865926558497011,0.9372565849735813,0.7831326555257913
amlnet,lgbm,2027,0.698348771647201,0.6741835147744946,0.7243107769423559,0.9423094102479663,0.79337827451838
amlnet,xgb,2024,0.690159003008165,0.7182468694096601,0.664185277088503,0.934228738725575,0.7889726590680513
amlnet,xgb,2025,0.6999587288485348,0.6962233169129721,0.703734439834025,0.9389437252614872,0.7885955370010109
amlnet,xgb,2026,0.6981818181818182,0.6625766871165644,0.7378309137489325,0.9384821883417347,0.7750929180223485
amlnet,xgb,2027,0.70727969348659,0.6532200990799717,0.77109440267335,0.9395994260279134,0.790063928542836
