dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc,train_ratio
atnet,lgbm_behav,2024,0.6112467142320691,0.5105465380694738,0.7614314115308151,0.9887697227284348,0.5536001329834542,0.01
atnet,lgbm_behav,2025,0.6097239188859027,0.525035765379113,0.7269867163831275,0.9901257930920714,0.5829506647642954,0.01
atnet,lgbm_behav,2026,0.6317147772892372,0.5338880361903223,0.7734347571679344,0.9898872661156972,0.5986458751445864,0.01
atnet,lgbm_behav,2027,0.6113320079522863,0.5347826086956522,0.7134570765661253,0.9889502550691064,0.5904738805475245,0.01
atnet,xgb_behav,2024,0.6356207633020707,0.5270655270655271,0.8004911706233189,0.9908471841901604,0.5789807663639789,0.01
atnet,xgb_behav,2025,0.6331728097795888,0.5253573075149839,0.7966674434863669,0.990363239798717,0.5676291151156542,0.01
atnet,xgb_behav,2026,0.6498068787934522,0.5351813981670832,0.8269163253364541,0.99106845139891,0.6049582870705763,0.01
atnet,xgb_behav,2027,0.6138362321672856,0.5302160702228225,0.7287703016241299,0.9890257028563056,0.570565917250861,0.01
atnet,lgbm_behav,2024,0.6644936792494384,0.5194903581267217,0.9217890749114016,0.991011402638336,0.6278212511295881,0.05
atnet,lgbm_behav,2025,0.6535093689034073,0.5187265917602997,0.8829226431286012,0.9908096494196952,0.6218888363511227,0.05
atnet,lgbm_behav,2026,0.6583788706739526,0.5237646717866976,0.8861240500122579,0.990997566884801,0.6199636440044917,0.05
atnet,lgbm_behav,2027,0.6510549720881824,0.5346542346542347,0.8322447992259313,0.9909746333035684,0.63267212045903,0.05
atnet,xgb_behav,2024,0.66669589617678,0.5198632478632479,0.9291213491384578,0.9911161765002304,0.6393436666562966,0.05
atnet,xgb_behav,2025,0.6580478919543293,0.5160256410256411,0.9079318376854236,0.9912016131913864,0.6221010722048016,0.05
atnet,xgb_behav,2026,0.6604503070275187,0.5250596658711217,0.8899240009806325,0.9911077138711792,0.6256198466825341,0.05
atnet,xgb_behav,2027,0.6576878878418755,0.530436716838437,0.8652636671504595,0.9910252822853692,0.6426397125396149,0.05
atnet,lgbm_behav,2024,0.6696067622197721,0.5185712252739434,0.9447757324345346,0.9914580158927848,0.6529666209327035,0.1
atnet,lgbm_behav,2025,0.6657947592134149,0.518855562026791,0.9288413918936532,0.991423521561177,0.6398146978019408,0.1
atnet,lgbm_behav,2026,0.6703518058743617,0.5245601173020528,0.9283768003114052,0.9913416487478424,0.6489785512813058,0.1
atnet,lgbm_behav,2027,0.6715105516475379,0.5246221708004917,0.9326391567039464,0.990905205450728,0.6447717224682937,0.1
atnet,xgb_behav,2024,0.6709600803873207,0.5179830747531735,0.952164894996111,0.9912562534334624,0.6537736181372809,0.1
atnet,xgb_behav,2025,0.6705683324950849,0.5164811945344415,0.9556887788348756,0.9916139499426688,0.6453552498724372,0.1
atnet,xgb_behav,2026,0.6740449178050475,0.5240495391705069,0.9443363176333204,0.9916722696346943,0.650292527948647,0.1
atnet,xgb_behav,2027,0.6727809014655729,0.5243911200517278,0.9382954107211724,0.9913620804486258,0.6492548556713824,0.1
