dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc,train_ratio
atnet,xgb,2024,0.6356207633020707,0.5270655270655271,0.8004911706233189,0.9908471841901604,0.5789807663639789,0.01
atnet,xgb,2025,0.6331728097795888,0.5253573075149839,0.7966674434863669,0.990363239798717,0.5676291151156542,0.01
atnet,xgb,2026,0.6498068787934522,0.5351813981670832,0.8269163253364541,0.99106845139891,0.6049582870705763,0.01
atnet,xgb,2027,0.6138362321672856,0.5302160702228225,0.7287703016241299,0.9890257028563056,0.570565917250861,0.01
atnet,lgbm,2024,0.6112467142320691,0.5105465380694738,0.7614314115308151,0.9887697227284348,0.5536001329834542,0.01
atnet,lgbm,2025,0.6097239188859027,0.525035765379113,0.7269867163831275,0.9901257930920714,0.5829506647642954,0.01
atnet,lgbm,2026,0.6317147772892372,0.5338880361903223,0.7734347571679344,0.9898872661156972,0.5986458751445866,0.01
atnet,lgbm,2027,0.6113320079522863,0.5347826086956522,0.7134570765661253,0.9889502591872188,0.590473983975909,0.01
atnet,gcn,2024,0.2652282286960585,0.1591084320459802,0.7963980820956613,0.9437503580351068,0.3101713141798281,0.01
atnet,gcn,2025,0.2729831706294544,0.1647112674359777,0.7966674434863669,0.9387105252363226,0.3280813363736533,0.01
atnet,gcn,2026,0.3032800242102568,0.1892944321748227,0.7623171445289643,0.9488003273371318,0.3389486756008091,0.01
atnet,gcn,2027,0.2850943520284042,0.1757505336828167,0.7545243619489559,0.9081978254284806,0.2947264944608355,0.01
atnet,gat,2024,0.3131255594434046,0.1895333087058244,0.9000116945386505,0.9632501224900166,0.4334656925035316,0.01
atnet,gat,2025,0.4689539436882342,0.3197575860315307,0.8791656956420415,0.9594962463832796,0.4618814903853565,0.01
atnet,gat,2026,0.4560739806641446,0.3067323613747425,0.8888238736102985,0.9611334377944206,0.4487913064198593,0.01
atnet,gat,2027,0.3957615290397926,0.262279608864726,0.8059164733178654,0.9542183885630328,0.4178301556479157,0.01
atnet,caregnn,2024,0.1076920535817518,0.0627019541467918,0.3812419600046778,0.6278423362492487,0.1070799822496068,0.01
atnet,caregnn,2025,0.1344796288826139,0.0858052892349269,0.3107667210440457,0.6944957674257062,0.1012551497599744,0.01
atnet,caregnn,2026,0.1164658634538152,0.0698729794849002,0.3495611468695143,0.6279504903374346,0.0886179113160585,0.01
